Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
male,68,190,94,29,105,40.8,231
female,20,166,60,14,94,40.3,66
male,69,179,71,13,100,40.5,71
female,34,179,71,13,100,40.5,71
female,27,154,58,10,81,39.8,35
female,36,151,50,23,96,40.7,123
female,33,158,56,22,95,40.5,112
male,41,175,85,25,100,40.7,143
male,60,186,94,21,97,40.4,134
female,26,146,51,16,90,40.2,72
female,36,177,76,1,74,37.8,3
female,21,157,56,17,100,40,92
male,66,171,79,11,90,40,58
female,32,157,54,18,93,40.4,88
male,53,182,85,2,82,38.1,7
female,39,156,62,28,104,40.8,179
male,39,182,82,4,82,38.6,11
male,46,169,67,11,89,40.2,43
female,27,171,65,4,85,38.6,15
male,50,188,86,14,94,40.2,74
male,67,189,93,8,77,39.2,29
female,31,148,50,8,84,39.5,32
female,33,157,60,3,80,38.7,10
female,20,165,59,29,100,41,155
male,48,182,85,1,80,37.7,3
male,29,176,75,10,83,39.7,24
male,33,173,73,7,78,39.3,12
male,42,190,88,3,83,38.9,10
female,62,159,59,29,106,41.2,195
male,38,171,66,20,98,40.1,113
male,20,169,66,3,80,38.9,11
female,25,155,55,16,93,40.5,82
female,24,184,86,8,86,39.9,26
female,42,171,66,24,105,40.6,141
male,22,195,98,20,96,40.6,92
female,74,152,59,2,79,38,5
female,70,193,93,10,83,39.7,30
female,26,168,71,3,78,38.5,3
male,44,179,73,9,90,39.6,37
male,61,158,62,25,105,40.6,147
female,68,174,69,2,80,38.1,8
female,61,191,101,21,106,40.7,159
male,63,155,58,15,100,40.3,93
female,54,164,65,23,113,40.4,173
female,54,198,101,19,95,40.6,89
female,47,188,89,7,82,39.3,31
male,33,170,64,9,84,39.6,35
female,24,177,80,16,98,40.6,94
male,24,167,63,9,99,39.7,49
male,48,185,77,13,84,40.4,54
male,35,151,56,20,97,40.4,117
male,21,175,79,27,104,40.6,173
female,21,158,61,20,97,40.7,99
female,22,177,71,10,93,39.8,45
female,69,169,69,22,113,40.6,166
male,53,174,69,28,111,40.9,202
female,68,182,83,20,101,40.9,107
female,69,163,68,29,109,40.7,199
male,28,192,93,5,90,39.1,25
male,70,179,67,8,77,39.5,23
female,36,192,92,24,108,40.7,200
female,77,168,64,2,76,38.2,6
female,32,178,83,2,79,38.1,7
female,62,168,68,20,99,40.6,113
female,64,168,63,29,108,40.7,188
male,45,165,72,20,96,40.3,103
male,45,197,101,17,103,40.3,128
female,22,187,89,23,99,40.7,130
male,45,144,50,7,83,39.3,27
female,66,163,62,27,111,41.2,185
male,31,155,57,11,92,39.8,57
female,57,155,57,11,92,39.8,65
male,53,189,88,13,94,40,91
female,22,160,60,16,99,40.4,120
male,67,164,64,19,105,40.4,70
female,27,166,68,12,101,40.1,39
male,57,202,100,9,94,39.8,136
female,49,171,80,22,95,40.5,77
female,39,169,64,14,101,40.2,42
male,47,174,67,9,93,39.5,41
male,62,184,91,7,95,39.2,179
male,41,159,59,14,88,39.9,6
female,34,201,98,24,110,40.7,13
female,40,171,74,2,73,38.6,147
female,55,155,62,5,74,39.2,180
male,44,189,87,23,110,40,101
female,45,183,88,26,107,40.7,150
female,49,201,107,14,96,40.1,179
female,46,158,53,23,106,40.7,23
male,25,165,60,25,115,40.8,10
male,68,195,93,6,93,39.2,39
female,25,190,96,3,80,38.3,247
female,31,175,74,9,93,39.5,89
male,57,169,81,30,112,40.9,141
female,27,159,53,19,92,40.5,18
male,40,181,83,25,102,40.9,70
female,57,160,62,4,87,39.1,185
female,23,171,67,15,89,40.6,54
male,23,188,90,29,110,40.8,207